date,open,high,low,close,adjusted_close,volume,symbol
2010-06-29,264.1212,264.39,254.2988,256.1692,7.6902,1133344800,AAPL.US
2010-06-30,256.7096,257.9696,250.0092,251.5296,7.551,739452000,AAPL.US
2010-07-01,254.2988,254.8,243.2192,248.4804,7.4594,1022896000,AAPL.US
2010-07-02,250.4908,250.9304,243.1996,246.9404,7.4132,693842800,AAPL.US
2010-07-06,251.0004,252.8008,246.1592,248.6288,7.4639,615235600,AAPL.US
2010-07-07,250.4908,258.7704,249.7488,258.6696,7.7653,654556000,AAPL.US
2010-07-08,262.4804,262.9004,254.8896,258.09,7.7479,738144400,AAPL.US
2010-07-09,256.8888,259.8988,255.1612,259.6188,7.7938,433322400,AAPL.US
2010-07-12,258.5296,261.8504,254.8588,257.2892,7.7239,562878400,AAPL.US
2010-07-13,256.3204,256.3988,246.4308,251.8012,7.5591,1190924000,AAPL.US
2010-07-14,249.3792,255.7996,249.0012,252.7308,7.587,812047600,AAPL.US
2010-07-15,248.2312,256.97,247.2988,251.4512,7.5486,824866000,AAPL.US
2010-07-16,253.1788,254.9708,248.4104,249.9,7.502,1039858400,AAPL.US
2010-07-19,249.8804,249.8804,239.5988,245.5796,7.3723,1024478000,AAPL.US
2010-07-20,242.9,252.8988,240.0104,251.8908,7.5618,1074950800,AAPL.US
2010-07-21,265.09,265.1488,253.9992,254.24,7.6323,1185671200,AAPL.US
2010-07-22,257.6812,259.9996,255.3096,259.0196,7.7758,645318800,AAPL.US
2010-07-23,257.0904,260.3804,256.2812,259.9408,7.8035,533388800,AAPL.US
2010-07-26,259.9996,260.1004,257.7092,259.28,7.7836,420551600,AAPL.US
2010-07-27,260.8704,264.7988,260.2992,264.0792,7.9277,584771600,AAPL.US
2010-07-28,263.6704,265.9888,260.2488,260.96,7.8341,519985200,AAPL.US
2010-07-29,260.7108,262.6512,256.0992,258.1096,7.7485,643806800,AAPL.US
2010-07-30,255.8892,259.7,254.9008,257.25,7.7227,448210000,AAPL.US
2010-08-02,260.4392,262.5896,259.6188,261.8504,7.8608,428055600,AAPL.US
2010-08-03,261.0104,263.2588,259.42,261.9288,7.8631,417653600,AAPL.US
2010-08-04,262.8388,264.2808,260.3104,262.9788,7.8947,420375200,AAPL.US
2010-08-05,261.73,263.1804,260.5512,261.6992,7.8563,289097200,AAPL.US
2010-08-06,259.7812,261.4892,257.6308,260.0892,7.8079,444897600,AAPL.US
2010-08-09,261.4808,262.15,259.5712,261.7496,7.8578,303128000,AAPL.US
2010-08-10,259.8512,260.4504,257.5496,259.4088,7.7875,451920000,AAPL.US
2010-08-11,255.3992,255.6904,249.8104,250.1912,7.5108,620054400,AAPL.US
2010-08-12,246.6912,253.1004,246.12,251.79,7.5588,534920400,AAPL.US
2010-08-13,251.65,251.8796,249.0908,249.0992,7.478,354869200,AAPL.US
2010-08-16,247.5788,250.0092,246.6212,247.6404,7.4342,318430000,AAPL.US
2010-08-17,250.0792,254.6292,249.2,251.9692,7.5642,422640400,AAPL.US
2010-08-18,252.3612,254.6712,251.58,253.0696,7.5972,339696000,AAPL.US
2010-08-19,252.84,253.4812,248.6792,249.8804,7.5015,426706000,AAPL.US
2010-08-20,249.3904,253.9208,249.0012,249.6396,7.4942,384230000,AAPL.US
2010-08-23,251.79,252.0,245.2492,245.8008,7.379,414041600,AAPL.US
2010-08-24,242.6704,243.0008,238.6496,239.9292,7.2027,602565600,AAPL.US
2010-08-25,238.0392,243.9892,237.1992,242.8888,7.2916,596867600,AAPL.US
2010-08-26,245.4508,245.7504,240.2792,240.2792,7.2132,466505200,AAPL.US
2010-08-27,241.7492,242.6088,235.5612,241.6204,7.2535,548391200,AAPL.US
2010-08-30,240.7608,245.7504,240.6796,242.4996,7.2799,383289200,AAPL.US
2010-08-31,241.85,244.5604,240.3492,243.0988,7.2979,420786800,AAPL.US
2010-09-01,247.4696,251.4596,246.2796,250.3312,7.515,697037600,AAPL.US
2010-09-02,251.2608,252.1708,248.57,252.1708,7.5702,415427600,AAPL.US
